zone_code,typology_code
CUADROS_TECNICOS,INDUSTRIAL
CUADROS_TECNICOS,OFICINAS
CUADROS_TECNICOS,HOTEL
CUADROS_TECNICOS,COMERCIAL
CUADROS_TECNICOS,SANITARIO
CUADROS_TECNICOS,OTROS
APARCAMIENTO,INDUSTRIAL
APARCAMIENTO,OFICINAS
APARCAMIENTO,HOTEL
APARCAMIENTO,COMERCIAL
APARCAMIENTO,SANITARIO
APARCAMIENTO,OTROS
OFICINAS,INDUSTRIAL
OFICINAS,OFICINAS
OFICINAS,HOTEL
OFICINAS,COMERCIAL
OFICINAS,SANITARIO
OFICINAS,OTROS
ASEOS,INDUSTRIAL
ASEOS,OFICINAS
ASEOS,HOTEL
ASEOS,COMERCIAL
ASEOS,SANITARIO
ASEOS,OTROS
CUBIERTA,INDUSTRIAL
CUBIERTA,OFICINAS
CUBIERTA,HOTEL
CUBIERTA,COMERCIAL
CUBIERTA,SANITARIO
CUBIERTA,OTROS
ZONAS_EXTERIORES,INDUSTRIAL
ZONAS_EXTERIORES,OFICINAS
ZONAS_EXTERIORES,HOTEL
ZONAS_EXTERIORES,COMERCIAL
ZONAS_EXTERIORES,SANITARIO
ZONAS_EXTERIORES,OTROS
VESTIBULO_PRINCIPAL,INDUSTRIAL
VESTIBULO_PRINCIPAL,OFICINAS
VESTIBULO_PRINCIPAL,HOTEL
VESTIBULO_PRINCIPAL,COMERCIAL
VESTIBULO_PRINCIPAL,SANITARIO
VESTIBULO_PRINCIPAL,OTROS
NUCLEO_ESCALERAS,INDUSTRIAL
NUCLEO_ESCALERAS,OFICINAS
NUCLEO_ESCALERAS,HOTEL
NUCLEO_ESCALERAS,COMERCIAL
NUCLEO_ESCALERAS,SANITARIO
NUCLEO_ESCALERAS,OTROS
GENERAL,INDUSTRIAL
GENERAL,OFICINAS
GENERAL,HOTEL
GENERAL,COMERCIAL
GENERAL,SANITARIO
GENERAL,OTROS
VESTIBULO_PLANTA,OFICINAS
VESTIBULO_PLANTA,HOTEL
VESTIBULO_PLANTA,COMERCIAL
VESTIBULO_PLANTA,SANITARIO
VESTIBULO_PLANTA,OTROS
SALAS_PERSONAL,HOTEL
SALAS_PERSONAL,COMERCIAL
SALAS_PERSONAL,SANITARIO
SALAS_PERSONAL,OTROS
ALMACEN,INDUSTRIAL
ALMACEN,OTROS
VESTUARIOS,INDUSTRIAL
VESTUARIOS,OTROS
HABITACIONES,HOTEL
HABITACIONES,SANITARIO
HABITACIONES,OTROS
COCINA,HOTEL
COCINA,OTROS
RESTAURANTE,HOTEL
RESTAURANTE,COMERCIAL
RESTAURANTE,SANITARIO
RESTAURANTE,OTROS
GIMNASIO,HOTEL
GIMNASIO,SANITARIO
GIMNASIO,OTROS
PISCINA,HOTEL
PISCINA,SANITARIO
PISCINA,OTROS
ZONA_COMERCIAL,COMERCIAL
ZONA_COMERCIAL,OTROS
SALAS_USO_SANITARIO,SANITARIO
SALAS_USO_SANITARIO,OTROS
